date,n_symbols,L1_H1,n_unb,n_edges,balance_rate
2018-04-13,39,0.791383,18.0,256,0.9174
2018-04-14,39,0.759561,29.0,258,0.8682
2018-04-15,39,0.775973,40.0,260,0.8198
2018-04-16,39,0.849739,20.0,252,0.9065
2018-04-17,39,0.710124,18.0,246,0.9135
2018-04-18,39,0.864655,31.0,233,0.841
2018-04-19,39,0.844494,20.0,232,0.8969
2018-04-20,39,1.125405,22.0,237,0.8894
2018-04-21,39,1.193196,15.0,222,0.9185
2018-04-22,39,1.027788,17.0,218,0.9056
2018-04-23,39,1.018403,14.0,216,0.9213
2018-04-24,39,1.081424,14.0,211,0.9191
2018-04-25,39,1.149031,14.0,216,0.9213
2018-04-26,39,1.110827,43.0,242,0.7892
2018-04-27,39,1.103896,18.0,229,0.9058
2018-04-28,39,1.456872,18.0,258,0.9182
2018-04-29,39,1.364655,26.0,261,0.8834
2018-04-30,39,1.427803,16.0,248,0.9238
2018-05-01,39,1.453513,18.0,243,0.9122
2018-05-02,39,1.409961,7.0,239,0.9652
2018-05-03,39,1.046084,4.0,251,0.9812
2018-05-04,39,1.108998,11.0,259,0.9502
2018-05-05,39,1.412067,33.0,255,0.8479
2018-05-06,39,1.759923,44.0,247,0.7895
2018-05-07,39,1.615723,40.0,239,0.801
2018-05-08,39,1.580513,40.0,228,0.7895
2018-05-09,39,1.689439,44.0,214,0.75
2018-05-10,39,1.658603,38.0,179,0.7305
2018-05-11,39,1.708484,46.0,200,0.716
2018-05-12,39,1.927459,38.0,219,0.7901
2018-05-13,39,1.914031,38.0,226,0.7979
2018-05-14,39,1.793792,41.0,220,0.7747
2018-05-15,39,1.497775,45.0,223,0.7568
2018-05-16,39,1.551268,21.0,217,0.8827
2018-05-17,39,1.546162,28.0,197,0.8239
2018-05-18,39,1.545888,25.0,203,0.8485
2018-05-19,39,1.572421,36.0,214,0.7955
2018-05-20,39,1.786981,43.0,214,0.7557
2018-05-21,39,1.790825,42.0,210,0.7558
2018-05-22,39,1.573101,26.0,202,0.8415
2018-05-23,39,1.507127,23.0,189,0.8477
2018-05-24,39,1.539346,29.0,185,0.8027
